Date,Description,Value
2024-01-01,SALARY DEPOSIT,15000.00
2024-01-02,SUPERMARKET EXAMPLE,-250.50
2024-01-03,RESTAURANT ABC,-120.00
2024-01-05,UBER TRIP,-35.00
2024-01-06,TRANSFER TO INVESTMENT,-5000.00
2024-01-08,ATM WITHDRAWAL,-500.00
2024-01-10,PHARMACY XYZ,-85.00
2024-01-12,GAS STATION,-200.00
2024-01-15,FREELANCE PAYMENT,3000.00
2024-01-18,ELECTRICITY BILL,-150.00
2024-01-20,WATER BILL,-80.00
2024-01-22,INTERNET SERVICE,-100.00
2024-01-25,GROCERY STORE,-300.00
2024-01-28,RESTAURANT DEF,-95.00
2024-01-30,TRANSFER FROM INVESTMENT,5500.00
